"rg","se","z","p","h2_obs","h2_obs_se","h2_int","h2_int_se","gcov_int","gcov_int_se","phenotype","leftregion","rightregion","label"
0.8334,0.0314,26.5764,1.273e-155,0.1888,0.0138,1.0075,0.0074,0.388,0.0059,"GM","lh_bankssts","rh_bankssts","lh_bankssts"
0.6136,0.0661,9.2759,1.7608e-20,0.1116,0.012,0.9991,0.007,0.0335,0.0046,"GM","lh_caudalanteriorcingulate","rh_caudalanteriorcingulate","lh_caudalanteriorcingulate"
0.9697,0.0171,56.7119,0,0.2191,0.0193,1.0187,0.0089,0.6087,0.0083,"GM","lh_caudalmiddlefrontal","rh_caudalmiddlefrontal","lh_caudalmiddlefrontal"
0.9666,0.0106,91.2779,0,0.2927,0.0216,1.0348,0.0091,0.72,0.0084,"GM","lh_cuneus","rh_cuneus","lh_cuneus"
0.9267,0.0276,33.5948,2.0007e-247,0.1669,0.0135,1.0094,0.0074,0.4931,0.0059,"GM","lh_entorhinal","rh_entorhinal","lh_entorhinal"
0.9287,0.0434,21.4108,1.0588e-101,0.1064,0.0134,1.0244,0.008,0.4302,0.0057,"GM","lh_frontalpole","rh_frontalpole","lh_frontalpole"
0.9622,0.016,60.0349,0,0.2347,0.0192,1.0165,0.0087,0.5803,0.0073,"GM","lh_fusiform","rh_fusiform","lh_fusiform"
0.8501,0.0168,50.5404,0,0.2316,0.0155,1.0195,0.0084,0.6322,0.0078,"GM","lh_inferiorparietal","rh_inferiorparietal","lh_inferiorparietal"
0.9366,0.016,58.6529,0,0.239,0.0168,1.0167,0.0095,0.6045,0.008,"GM","lh_inferiortemporal","rh_inferiortemporal","lh_inferiortemporal"
0.9648,0.0097,99.2915,0,0.2832,0.0222,1.0169,0.0109,0.7525,0.0096,"GM","lh_insula","rh_insula","lh_insula"
0.9012,0.0196,45.8909,0,0.2275,0.016,1.0211,0.0075,0.5501,0.0065,"GM","lh_isthmuscingulate","rh_isthmuscingulate","lh_isthmuscingulate"
0.9581,0.0127,75.6696,0,0.2433,0.0179,1.0287,0.0082,0.673,0.0072,"GM","lh_lateraloccipital","rh_lateraloccipital","lh_lateraloccipital"
0.9718,0.009,108.3553,0,0.28,0.021,1.0172,0.0096,0.754,0.0088,"GM","lh_lateralorbitofrontal","rh_lateralorbitofrontal","lh_lateralorbitofrontal"
0.9523,0.0105,90.7727,0,0.2796,0.0187,1.0198,0.0083,0.7001,0.0073,"GM","lh_lingual","rh_lingual","lh_lingual"
0.9397,0.0242,38.7602,0,0.2164,0.0168,1.0063,0.0079,0.4823,0.0069,"GM","lh_medialorbitofrontal","rh_medialorbitofrontal","lh_medialorbitofrontal"
0.9742,0.0142,68.5493,0,0.2366,0.0182,1.0263,0.0092,0.6777,0.0082,"GM","lh_middletemporal","rh_middletemporal","lh_middletemporal"
0.9561,0.0175,54.621,0,0.2167,0.0149,1.0083,0.008,0.5678,0.0074,"GM","lh_paracentral","rh_paracentral","lh_paracentral"
0.8641,0.0221,39.057,0,0.2061,0.0145,1.0077,0.008,0.4958,0.0066,"GM","lh_parahippocampal","rh_parahippocampal","lh_parahippocampal"
0.9341,0.0257,36.3808,8.5746e-290,0.1827,0.0136,1.0067,0.007,0.4921,0.0058,"GM","lh_parsopercularis","rh_parsopercularis","lh_parsopercularis"
0.9549,0.0237,40.2163,0,0.1972,0.0149,1.019,0.0084,0.5253,0.0065,"GM","lh_parsorbitalis","rh_parsorbitalis","lh_parsorbitalis"
0.9473,0.0288,32.8649,6.9708e-237,0.162,0.0164,1.0137,0.0093,0.5042,0.0073,"GM","lh_parstriangularis","rh_parstriangularis","lh_parstriangularis"
0.9695,0.0061,157.7834,0,0.3462,0.0253,1.0249,0.0097,0.8158,0.0096,"GM","lh_pericalcarine","rh_pericalcarine","lh_pericalcarine"
0.9549,0.013,73.4154,0,0.2508,0.0178,1.0216,0.0094,0.6938,0.0084,"GM","lh_postcentral","rh_postcentral","lh_postcentral"
