"","label","phenotype","class","yrange.rank","yrange"
"1","lh_bankssts","GM","left-dominant",21,0.071046290551667
"8192","lh_caudalanteriorcingulate","GM","left-to-right",34,0.234669943265319
"16384","lh_caudalmiddlefrontal","GM","left-dominant",17,0.0604040746620598
"24576","lh_cuneus","GM","left-to-right",15,0.0582922952349294
"32768","lh_entorhinal","GM","right-to-left",32,-0.207549368143631
"40960","lh_frontalpole","GM","right-dominant",12,0.029305866594084
"49152","lh_fusiform","GM","left-dominant",13,0.0428589614933674
"57344","lh_HEMI","GM","left-to-right",4,0.0120910729403546
"65536","lh_inferiorparietal","GM","right-dominant",8,0.023392059922643
"73728","lh_inferiortemporal","GM","right-to-left",22,-0.0764306285886082
"81920","lh_insula","GM","right-dominant",26,-0.101326690685034
"90112","lh_isthmuscingulate","GM","left-dominant",31,0.190652626274956
"98304","lh_lateraloccipital","GM","right-dominant",1,-0.0016073440934911
"106496","lh_lateralorbitofrontal","GM","right-to-left",18,-0.067205676074825
"114688","lh_lingual","GM","left-to-right",25,0.0994265447001698
"122880","lh_medialorbitofrontal","GM","right-dominant",11,-0.028904373171936
"131072","lh_middletemporal","GM","right-dominant",19,0.067612427554525
"139264","lh_paracentral","GM","right-dominant",29,-0.160714217715301
"147456","lh_parahippocampal","GM","left-dominant",33,0.217468617858737
"155648","lh_parsopercularis","GM","left-dominant",23,0.088507028260816
"163840","lh_parsorbitalis","GM","right-dominant",27,-0.126293697503132
"172032","lh_parstriangularis","GM","right-dominant",10,0.027217214651849
"180224","lh_pericalcarine","GM","right-dominant",9,0.0241548209434253
"188416","lh_postcentral","GM","left-dominant",7,0.021317340873034
"196608","lh_posteriorcingulate","GM","left-dominant",28,0.138839379004639
"204800","lh_precentral","GM","left-dominant",14,0.0489500649014348
"212992","lh_precuneus","GM","left-to-right",24,0.0971708421926198
"221184","lh_rostralanteriorcingulate","GM","left-dominant",30,0.185922880957459
"229376","lh_rostralmiddlefrontal","GM","right-dominant",5,-0.0156818970146972
"237568","lh_superiorfrontal","GM","left-dominant",2,-0.0063669100197994
"245760","lh_superiorparietal","GM","left-dominant",3,0.00929676919507251
"253952","lh_superiortemporal","GM","left-dominant",20,0.0684001007919023
"262144","lh_supramarginal","GM","left-dominant",6,-0.0191809554375121
"270336","lh_temporalpole","GM","right-to-left",35,-0.282302759004777
"278528","lh_transversetemporal","GM","left-dominant",16,-0.0586811341628608
"286720","lh_bankssts","SA","left-dominant",10,0.012483149877023
"294911","lh_caudalanteriorcingulate","SA","right-dominant",34,-0.178070806360131
"303103","lh_caudalmiddlefrontal","SA","left-dominant",24,0.0626733944701047
"311295","lh_cuneus","SA","right-dominant",8,-0.0108810904157029
"319487","lh_entorhinal","SA","left-dominant",19,0.0416049472130041
"327679","lh_frontalpole","SA","right-dominant",32,-0.109168339935458
"335871","lh_fusiform","SA","left-dominant",13,-0.0234131702063543
"344063","lh_HEMI","SA","right-dominant",1,-8.200920861943e-05
"352255","lh_inferiorparietal","SA","right-dominant",11,0.014500363857203
"360447","lh_inferiortemporal","SA","left-dominant",3,0.0041973310947635
"368639","lh_insula","SA","right-to-left",23,-0.0593726455780248
"376831","lh_isthmuscingulate","SA","left-dominant",29,-0.087259216396647
"385023","lh_lateraloccipital","SA","left-dominant",20,0.0427931807788719
"393215","lh_lateralorbitofrontal","SA","right-to-left",28,-0.0846102994632603
"401407","lh_lingual","SA","right-dominant",2,-0.0037829273589333
"409599","lh_medialorbitofrontal","SA","right-dominant",15,-0.0256192120518068
"417791","lh_middletemporal","SA","right-dominant",21,-0.0581539496468746
"425983","lh_paracentral","SA","right-dominant",9,0.0120081393673211
"434175","lh_parahippocampal","SA","right-to-left",30,-0.0958886894510356
"442367","lh_parsopercularis","SA","left-dominant",14,-0.0244072009928879
"450559","lh_parsorbitalis","SA","right-dominant",12,0.018130902775653
"458751","lh_parstriangularis","SA","left-to-right",33,0.137528879058286
"466943","lh_pericalcarine","SA","right-dominant",16,-0.0288629675855411
"475135","lh_postcentral","SA","left-dominant",22,0.0583042086123603
"483327","lh_posteriorcingulate","SA","left-to-right",26,0.068923801051
"491519","lh_precentral","SA","left-dominant",5,0.00720931211331286
"499711","lh_precuneus","SA","left-to-right",25,0.0635799659586665
"507903","lh_rostralanteriorcingulate","SA","right-to-left",35,-0.429959402872648
"516095","lh_rostralmiddlefrontal","SA","left-to-right",18,0.0415552218181256
"524287","lh_superiorfrontal","SA","left-dominant",6,-0.0089909666119449
"532479","lh_superiorparietal","SA","right-to-left",31,-0.0965078717181942
"540671","lh_superiortemporal","SA","left-dominant",17,-0.0294569743623138
"548863","lh_supramarginal","SA","left-dominant",4,0.0068388437484308
"557055","lh_temporalpole","SA","right-to-left",27,-0.0820036474238212
"565247","lh_transversetemporal","SA","left-dominant",7,-0.00900853085574299
"573439","lh_bankssts","CT","left-to-right",27,0.0458279914974194
"581630","lh_caudalanteriorcingulate","CT","left-dominant",34,0.149264896503207
"589822","lh_caudalmiddlefrontal","CT","left-to-right",15,0.0253095669081208
"598014","lh_cuneus","CT","left-to-right",26,0.045034618075112
"606206","lh_entorhinal","CT","left-to-right",19,0.0352160827170581
"614398","lh_frontalpole","CT","left-to-right",17,0.0280058895491046
"622590","lh_fusiform","CT","left-to-right",14,0.0237986846260605
"630782","lh_HEMI","CT","right-dominant",5,0.00743184119244014
"638974","lh_inferiorparietal","CT","right-dominant",7,-0.012609106528214
"647166","lh_inferiortemporal","CT","right-dominant",9,-0.0132281353719651
"655358","lh_insula","CT","right-dominant",16,-0.0277441191432482
"663550","lh_isthmuscingulate","CT","right-dominant",2,0.00287147475936467
"671742","lh_lateraloccipital","CT","right-dominant",13,-0.021684675084346
"679934","lh_lateralorbitofrontal","CT","left-to-right",8,0.0132219359113773
"688126","lh_lingual","CT","left-to-right",21,0.0400952668575229
"696318","lh_medialorbitofrontal","CT","left-to-right",23,0.0418529673976163
"704510","lh_middletemporal","CT","left-to-right",28,0.0467730844466598
"712702","lh_paracentral","CT","right-dominant",18,-0.0331020698315291
"720894","lh_parahippocampal","CT","left-dominant",29,0.0479150083426376
"729086","lh_parsopercularis","CT","left-to-right",20,0.0388354414302844
