"h2","Pval","region_label","h2round","PFDR","phenotype","label"
0.0204,0.0094,"asymmetry_bankssts",0.0204,0.01073125,"CT","lh_bankssts"
0.0318,0.0093,"asymmetry_caudalanteriorcingulate",0.0318,0.01073125,"CT","lh_caudalanteriorcingulate"
0.0031,0.0073,"asymmetry_caudalmiddlefrontal",0.0031,0.01073125,"CT","lh_caudalmiddlefrontal"
0.0104,0.0088,"asymmetry_cuneus",0.0104,0.01073125,"CT","lh_cuneus"
0.005,0.0086,"asymmetry_entorhinal",0.005,0.01073125,"CT","lh_entorhinal"
0.0084,0.0084,"asymmetry_frontalpole",0.0084,0.01073125,"CT","lh_frontalpole"
0.0116,0.0081,"asymmetry_fusiform",0.0116,0.01073125,"CT","lh_fusiform"
0.0243,0.0098,"asymmetry_inferiorparietal",0.0243,0.01073125,"CT","lh_inferiorparietal"
0.024,0.0117,"asymmetry_inferiortemporal",0.024,0.0117,"CT","lh_inferiortemporal"
0.0051,0.0106,"asymmetry_insula",0.0051,0.0109212121212121,"CT","lh_insula"
0.0522,0.0093,"asymmetry_isthmuscingulate",0.0522,0.01073125,"CT","lh_isthmuscingulate"
0.0241,0.0097,"asymmetry_lateraloccipital",0.0241,0.01073125,"CT","lh_lateraloccipital"
0.025,0.0079,"asymmetry_lateralorbitofrontal",0.025,0.01073125,"CT","lh_lateralorbitofrontal"
0.0164,0.0091,"asymmetry_lingual",0.0164,0.01073125,"CT","lh_lingual"
0.0173,0.0098,"asymmetry_medialorbitofrontal",0.0173,0.01073125,"CT","lh_medialorbitofrontal"
4e-04,0.0076,"asymmetry_middletemporal",4e-04,0.01073125,"CT","lh_middletemporal"
0.0225,0.0086,"asymmetry_paracentral",0.0225,0.01073125,"CT","lh_paracentral"
0.0388,0.0095,"asymmetry_parahippocampal",0.0388,0.01073125,"CT","lh_parahippocampal"
0.0028,0.008,"asymmetry_parsopercularis",0.0028,0.01073125,"CT","lh_parsopercularis"
0.0041,0.0088,"asymmetry_parsorbitalis",0.0041,0.01073125,"CT","lh_parsorbitalis"
0.0061,0.0087,"asymmetry_parstriangularis",0.0061,0.01073125,"CT","lh_parstriangularis"
0.0218,0.0099,"asymmetry_pericalcarine",0.0218,0.01073125,"CT","lh_pericalcarine"
0.0346,0.0093,"asymmetry_postcentral",0.0346,0.01073125,"CT","lh_postcentral"
0.0452,0.0101,"asymmetry_posteriorcingulate",0.0452,0.01073125,"CT","lh_posteriorcingulate"
0.0042,0.0083,"asymmetry_precentral",0.0042,0.01073125,"CT","lh_precentral"
0.0061,0.0081,"asymmetry_precuneus",0.0061,0.01073125,"CT","lh_precuneus"
0.0229,0.0086,"asymmetry_rostralanteriorcingulate",0.0229,0.01073125,"CT","lh_rostralanteriorcingulate"
0.0033,0.0077,"asymmetry_rostralmiddlefrontal",0.0033,0.01073125,"CT","lh_rostralmiddlefrontal"
0.0171,0.0088,"asymmetry_superiorfrontal",0.0171,0.01073125,"CT","lh_superiorfrontal"
0.0045,0.0086,"asymmetry_superiorparietal",0.0045,0.01073125,"CT","lh_superiorparietal"
0.0188,0.008,"asymmetry_superiortemporal",0.0188,0.01073125,"CT","lh_superiortemporal"
0.0073,0.0088,"asymmetry_supramarginal",0.0073,0.01073125,"CT","lh_supramarginal"
0.0127,0.0082,"asymmetry_temporalpole",0.0127,0.01073125,"CT","lh_temporalpole"
0.0232,0.0089,"asymmetry_transversetemporal",0.0232,0.01073125,"CT","lh_transversetemporal"
0.0465,0.0095,"asymmetry_bankssts",0.0465,0.01094375,"GM","lh_bankssts"
0.0397,0.0095,"asymmetry_caudalanteriorcingulate",0.0397,0.01094375,"GM","lh_caudalanteriorcingulate"
0.0232,0.0087,"asymmetry_caudalmiddlefrontal",0.0232,0.01094375,"GM","lh_caudalmiddlefrontal"
0.0419,0.0103,"asymmetry_cuneus",0.0419,0.01094375,"GM","lh_cuneus"
0.0295,0.0094,"asymmetry_entorhinal",0.0295,0.01094375,"GM","lh_entorhinal"
0.017,0.0096,"asymmetry_frontalpole",0.017,0.01094375,"GM","lh_frontalpole"
0.0236,0.0087,"asymmetry_fusiform",0.0236,0.01094375,"GM","lh_fusiform"
0.0886,0.0108,"asymmetry_inferiorparietal",0.0886,0.0111272727272727,"GM","lh_inferiorparietal"
0.0407,0.0097,"asymmetry_inferiortemporal",0.0407,0.01094375,"GM","lh_inferiortemporal"
0.0455,0.0115,"asymmetry_insula",0.0455,0.0115,"GM","lh_insula"
0.0533,0.0097,"asymmetry_isthmuscingulate",0.0533,0.01094375,"GM","lh_isthmuscingulate"
0.0293,0.0091,"asymmetry_lateraloccipital",0.0293,0.01094375,"GM","lh_lateraloccipital"
0.0277,0.0093,"asymmetry_lateralorbitofrontal",0.0277,0.01094375,"GM","lh_lateralorbitofrontal"
0.0525,0.0101,"asymmetry_lingual",0.0525,0.01094375,"GM","lh_lingual"
0.0224,0.009,"asymmetry_medialorbitofrontal",0.0224,0.01094375,"GM","lh_medialorbitofrontal"
0.0227,0.0088,"asymmetry_middletemporal",0.0227,0.01094375,"GM","lh_middletemporal"
0.0144,0.0091,"asymmetry_paracentral",0.0144,0.01094375,"GM","lh_paracentral"
0.0555,0.0096,"asymmetry_parahippocampal",0.0555,0.01094375,"GM","lh_parahippocampal"
0.02,0.0088,"asymmetry_parsopercularis",0.02,0.01094375,"GM","lh_parsopercularis"
0.0116,0.009,"asymmetry_parsorbitalis",0.0116,0.01094375,"GM","lh_parsorbitalis"
0.0184,0.0092,"asymmetry_parstriangularis",0.0184,0.01094375,"GM","lh_parstriangularis"
0.058,0.0096,"asymmetry_pericalcarine",0.058,0.01094375,"GM","lh_pericalcarine"
0.0338,0.0098,"asymmetry_postcentral",0.0338,0.01094375,"GM","lh_postcentral"
0.0249,0.0092,"asymmetry_posteriorcingulate",0.0249,0.01094375,"GM","lh_posteriorcingulate"
0.014,0.0096,"asymmetry_precentral",0.014,0.01094375,"GM","lh_precentral"
0.0391,0.0092,"asymmetry_precuneus",0.0391,0.01094375,"GM","lh_precuneus"
0.0335,0.0098,"asymmetry_rostralanteriorcingulate",0.0335,0.01094375,"GM","lh_rostralanteriorcingulate"
0.0175,0.0088,"asymmetry_rostralmiddlefrontal",0.0175,0.01094375,"GM","lh_rostralmiddlefrontal"
0.0422,0.0089,"asymmetry_superiorfrontal",0.0422,0.01094375,"GM","lh_superiorfrontal"
0.0316,0.0086,"asymmetry_superiorparietal",0.0316,0.01094375,"GM","lh_superiorparietal"
0.0453,0.0093,"asymmetry_superiortemporal",0.0453,0.01094375,"GM","lh_superiortemporal"
0.0486,0.0092,"asymmetry_supramarginal",0.0486,0.01094375,"GM","lh_supramarginal"
0.0253,0.009,"asymmetry_temporalpole",0.0253,0.01094375,"GM","lh_temporalpole"
0.0376,0.0099,"asymmetry_transversetemporal",0.0376,0.01094375,"GM","lh_transversetemporal"
0.0519,0.0093,"asymmetry_bankssts",0.0519,0.0110242424242424,"SA","lh_bankssts"
0.0434,0.0087,"asymmetry_caudalanteriorcingulate",0.0434,0.0110242424242424,"SA","lh_caudalanteriorcingulate"
0.0219,0.0087,"asymmetry_caudalmiddlefrontal",0.0219,0.0110242424242424,"SA","lh_caudalmiddlefrontal"
0.0406,0.0093,"asymmetry_cuneus",0.0406,0.0110242424242424,"SA","lh_cuneus"
0.0248,0.0088,"asymmetry_entorhinal",0.0248,0.0110242424242424,"SA","lh_entorhinal"
6e-04,0.0084,"asymmetry_frontalpole",6e-04,0.0110242424242424,"SA","lh_frontalpole"
