"label","phenotype","hemisphere","pop.mean","peak.growth","peak.decline"
"lh_bankssts","GM","lh",7.06959198643926,0.448359823534095,44.8033450665107
"lh_caudalanteriorcingulate","GM","lh",15.3753169163109,0.496886433525138,100.236827335077
"lh_caudalmiddlefrontal","GM","lh",8.31793284645121,0.647245293102285,54.1723826197535
"lh_cuneus","GM","lh",7.43423771288042,0.0928626790350804,63.8967385754095
"lh_entorhinal","GM","lh",28.206316590935,0.479449371495361,100.236827335077
"lh_frontalpole","GM","lh",7.80501417005202,0.39434036442272,28.9282935982534
"lh_fusiform","GM","lh",13.2101233231958,-0.193666701816641,100.236827335077
"lh_inferiorparietal","GM","lh",6.00132607324038,0.471603186262847,31.5920842264939
"lh_inferiortemporal","GM","lh",11.0931709820249,0.605020289977128,100.236827335077
"lh_insula","GM","lh",10.3812367966137,0.654408104990854,31.4289762130726
"lh_isthmuscingulate","GM","lh",7.03994682715983,0.209833098707442,30.5860518796435
"lh_lateraloccipital","GM","lh",8.08007368336406,0.32052435316015,64.3064912196853
"lh_lateralorbitofrontal","GM","lh",8.88590167235663,0.579272459205835,61.1780189809939
"lh_lingual","GM","lh",7.69739989109254,0.217262705790581,61.2563257322938
"lh_medialorbitofrontal","GM","lh",8.93480544994812,0.183067994623807,75.921435007827
"lh_middletemporal","GM","lh",7.75103708898568,0.620704826544583,47.1653415340393
"lh_paracentral","GM","lh",7.1092940469229,0.277451379731735,51.2675073674012
"lh_parahippocampal","GM","lh",19.7806033814389,-0.193666701816641,100.236827335077
"lh_parsopercularis","GM","lh",8.22657496945388,0.687092484579538,55.294190689254
"lh_parsorbitalis","GM","lh",7.0993497148971,0.6365687153177,38.8408536275816
"lh_parstriangularis","GM","lh",7.60170261763807,0.634797140544243,50.2262754918153
"lh_pericalcarine","GM","lh",8.29500674219996,0.108199203856338,51.8625159255923
"lh_postcentral","GM","lh",6.22734034897312,0.368238094985249,32.7572135257563
"lh_posteriorcingulate","GM","lh",8.92255632746528,0.369672701507157,55.2234114022734
"lh_precentral","GM","lh",9.89902924036413,0.391410713881722,100.236827335077
"lh_precuneus","GM","lh",5.59503847424132,0.342722697514894,30.1533645928338
"lh_rostralanteriorcingulate","GM","lh",12.7755704741054,0.550675388309837,100.236827335077
"lh_rostralmiddlefrontal","GM","lh",7.40321315161141,0.685257121269316,42.3938535965269
"lh_superiorfrontal","GM","lh",7.75103708898568,0.611969183205982,47.4690722282083
"lh_superiorparietal","GM","lh",4.88264198044094,0.35116344268227,21.2170592485967
