"label","phenotype","hemisphere","region","sex","pFDR","cohensD","dx"
"lh_bankssts","CT","lh","bankssts","Female","0.0080",0.618,"AD"
"lh_bankssts","CT","lh","bankssts","Female","0.2914",-0.049,"ASD"
"lh_bankssts","CT","lh","bankssts","Female","0.0160",0.156,"ADHD"
"lh_bankssts","CT","lh","bankssts","Female","0.0080",0.292,"SCZ"
"lh_bankssts","CT","lh","bankssts","Male","0.0053",0.67,"AD"
"lh_bankssts","CT","lh","bankssts","Male","0.0053",-0.075,"ASD"
"lh_bankssts","CT","lh","bankssts","Male","0.2675",0.038,"ADHD"
"lh_bankssts","CT","lh","bankssts","Male","0.0053",0.231,"SCZ"
"lh_bankssts","CT","lh","bankssts","All","   NA",0.643,"AD"
"lh_bankssts","CT","lh","bankssts","All","   NA",-0.068,"ASD"
"lh_bankssts","CT","lh","bankssts","All","   NA",0.07,"ADHD"
"lh_bankssts","CT","lh","bankssts","All","   NA",0.26,"SCZ"
"lh_caudalanteriorcingulate","CT","lh","caudalanteriorcingulate","Female","0.1277",0.039,"AD"
"lh_caudalanteriorcingulate","CT","lh","caudalanteriorcingulate","Female","0.0399",0.11,"ASD"
"lh_caudalanteriorcingulate","CT","lh","caudalanteriorcingulate","Female","0.2754",0.067,"ADHD"
"lh_caudalanteriorcingulate","CT","lh","caudalanteriorcingulate","Female","0.0160",0.169,"SCZ"
"lh_caudalanteriorcingulate","CT","lh","caudalanteriorcingulate","Male","0.0160",0.081,"AD"
"lh_caudalanteriorcingulate","CT","lh","caudalanteriorcingulate","Male","0.4830",0.019,"ASD"
"lh_caudalanteriorcingulate","CT","lh","caudalanteriorcingulate","Male","0.1650",-0.062,"ADHD"
"lh_caudalanteriorcingulate","CT","lh","caudalanteriorcingulate","Male","0.0319",0.14,"SCZ"
"lh_caudalanteriorcingulate","CT","lh","caudalanteriorcingulate","All","   NA",0.059,"AD"
"lh_caudalanteriorcingulate","CT","lh","caudalanteriorcingulate","All","   NA",0.042,"ASD"
"lh_caudalanteriorcingulate","CT","lh","caudalanteriorcingulate","All","   NA",-0.023,"ADHD"
"lh_caudalanteriorcingulate","CT","lh","caudalanteriorcingulate","All","   NA",0.154,"SCZ"
"lh_caudalmiddlefrontal","CT","lh","caudalmiddlefrontal","Female","0.0080",0.553,"AD"
"lh_caudalmiddlefrontal","CT","lh","caudalmiddlefrontal","Female","0.4830",-0.031,"ASD"
"lh_caudalmiddlefrontal","CT","lh","caudalmiddlefrontal","Female","0.0426",0.139,"ADHD"
"lh_caudalmiddlefrontal","CT","lh","caudalmiddlefrontal","Female","0.0080",0.314,"SCZ"
"lh_caudalmiddlefrontal","CT","lh","caudalmiddlefrontal","Male","0.0053",0.629,"AD"
"lh_caudalmiddlefrontal","CT","lh","caudalmiddlefrontal","Male","0.4990",0.017,"ASD"
"lh_caudalmiddlefrontal","CT","lh","caudalmiddlefrontal","Male","0.0053",0.113,"ADHD"
"lh_caudalmiddlefrontal","CT","lh","caudalmiddlefrontal","Male","0.0053",0.382,"SCZ"
"lh_caudalmiddlefrontal","CT","lh","caudalmiddlefrontal","All","   NA",0.589,"AD"
"lh_caudalmiddlefrontal","CT","lh","caudalmiddlefrontal","All","   NA",0.008,"ASD"
"lh_caudalmiddlefrontal","CT","lh","caudalmiddlefrontal","All","   NA",0.12,"ADHD"
"lh_caudalmiddlefrontal","CT","lh","caudalmiddlefrontal","All","   NA",0.349,"SCZ"
"lh_cuneus","CT","lh","cuneus","Female","0.0080",0.278,"AD"
"lh_cuneus","CT","lh","cuneus","Female","0.0266",-0.121,"ASD"
"lh_cuneus","CT","lh","cuneus","Female","0.2754",0.067,"ADHD"
"lh_cuneus","CT","lh","cuneus","Female","0.0080",0.23,"SCZ"
"lh_cuneus","CT","lh","cuneus","Male","0.0080",0.291,"AD"
"lh_cuneus","CT","lh","cuneus","Male","0.0479",-0.054,"ASD"
"lh_cuneus","CT","lh","cuneus","Male","0.7585",-0.011,"ADHD"
"lh_cuneus","CT","lh","cuneus","Male","0.0080",0.282,"SCZ"
"lh_cuneus","CT","lh","cuneus","All","   NA",0.284,"AD"
"lh_cuneus","CT","lh","cuneus","All","   NA",-0.06,"ASD"
"lh_cuneus","CT","lh","cuneus","All","   NA",0.015,"ADHD"
"lh_cuneus","CT","lh","cuneus","All","   NA",0.258,"SCZ"
"lh_entorhinal","CT","lh","entorhinal","Female","0.0080",0.878,"AD"
"lh_entorhinal","CT","lh","entorhinal","Female","0.2715",-0.057,"ASD"
"lh_entorhinal","CT","lh","entorhinal","Female","0.0639",-0.118,"ADHD"
"lh_entorhinal","CT","lh","entorhinal","Female","0.0080",0.191,"SCZ"
"lh_entorhinal","CT","lh","entorhinal","Male","0.0080",0.933,"AD"
"lh_entorhinal","CT","lh","entorhinal","Male","0.1171",-0.043,"ASD"
"lh_entorhinal","CT","lh","entorhinal","Male","0.8343",0.009,"ADHD"
"lh_entorhinal","CT","lh","entorhinal","Male","0.0080",0.185,"SCZ"
"lh_entorhinal","CT","lh","entorhinal","All","   NA",0.904,"AD"
"lh_entorhinal","CT","lh","entorhinal","All","   NA",-0.04,"ASD"
"lh_entorhinal","CT","lh","entorhinal","All","   NA",-0.02,"ADHD"
"lh_entorhinal","CT","lh","entorhinal","All","   NA",0.188,"SCZ"
"lh_frontalpole","CT","lh","frontalpole","Female","0.0080",0.291,"AD"
"lh_frontalpole","CT","lh","frontalpole","Female","0.2196",-0.06,"ASD"
"lh_frontalpole","CT","lh","frontalpole","Female","0.0160",0.149,"ADHD"
"lh_frontalpole","CT","lh","frontalpole","Female","0.0080",0.171,"SCZ"
"lh_frontalpole","CT","lh","frontalpole","Male","0.0160",0.411,"AD"
"lh_frontalpole","CT","lh","frontalpole","Male","0.2076",0.035,"ASD"
"lh_frontalpole","CT","lh","frontalpole","Male","0.4790",0.03,"ADHD"
"lh_frontalpole","CT","lh","frontalpole","Male","0.0639",0.128,"SCZ"
"lh_frontalpole","CT","lh","frontalpole","All","   NA",0.349,"AD"
"lh_frontalpole","CT","lh","frontalpole","All","   NA",0.02,"ASD"
"lh_frontalpole","CT","lh","frontalpole","All","   NA",0.064,"ADHD"
"lh_frontalpole","CT","lh","frontalpole","All","   NA",0.149,"SCZ"
"lh_fusiform","CT","lh","fusiform","Female","0.0080",0.714,"AD"
"lh_fusiform","CT","lh","fusiform","Female","0.9581",-0.003,"ASD"
"lh_fusiform","CT","lh","fusiform","Female","0.1597",0.102,"ADHD"
"lh_fusiform","CT","lh","fusiform","Female","0.0080",0.488,"SCZ"
"lh_fusiform","CT","lh","fusiform","Male","0.0080",0.832,"AD"
"lh_fusiform","CT","lh","fusiform","Male","0.0160",-0.066,"ASD"
"lh_fusiform","CT","lh","fusiform","Male","0.2914",0.042,"ADHD"
"lh_fusiform","CT","lh","fusiform","Male","0.0080",0.382,"SCZ"
"lh_fusiform","CT","lh","fusiform","All","   NA",0.771,"AD"
"lh_fusiform","CT","lh","fusiform","All","   NA",-0.05,"ASD"
"lh_fusiform","CT","lh","fusiform","All","   NA",0.061,"ADHD"
"lh_fusiform","CT","lh","fusiform","All","   NA",0.433,"SCZ"
"lh_inferiorparietal","CT","lh","inferiorparietal","Female","0.0053",0.742,"AD"
"lh_inferiorparietal","CT","lh","inferiorparietal","Female","0.5349",-0.033,"ASD"
"lh_inferiorparietal","CT","lh","inferiorparietal","Female","0.0053",0.215,"ADHD"
"lh_inferiorparietal","CT","lh","inferiorparietal","Female","0.0053",0.306,"SCZ"
"lh_inferiorparietal","CT","lh","inferiorparietal","Male","0.0080",0.726,"AD"
"lh_inferiorparietal","CT","lh","inferiorparietal","Male","0.3473",-0.024,"ASD"
"lh_inferiorparietal","CT","lh","inferiorparietal","Male","0.3473",-0.038,"ADHD"
"lh_inferiorparietal","CT","lh","inferiorparietal","Male","0.0080",0.31,"SCZ"
"lh_inferiorparietal","CT","lh","inferiorparietal","All","   NA",0.734,"AD"
"lh_inferiorparietal","CT","lh","inferiorparietal","All","   NA",-0.03,"ASD"
"lh_inferiorparietal","CT","lh","inferiorparietal","All","   NA",0.025,"ADHD"
"lh_inferiorparietal","CT","lh","inferiorparietal","All","   NA",0.308,"SCZ"
"lh_inferiortemporal","CT","lh","inferiortemporal","Female","0.0080",0.712,"AD"
"lh_inferiortemporal","CT","lh","inferiortemporal","Female","0.8942",-0.012,"ASD"
"lh_inferiortemporal","CT","lh","inferiortemporal","Female","0.8942",0.002,"ADHD"
"lh_inferiortemporal","CT","lh","inferiortemporal","Female","0.0080",0.308,"SCZ"
"lh_inferiortemporal","CT","lh","inferiortemporal","Male","0.0080",0.83,"AD"
"lh_inferiortemporal","CT","lh","inferiortemporal","Male","0.8104",0.006,"ASD"
"lh_inferiortemporal","CT","lh","inferiortemporal","Male","0.8104",-0.014,"ADHD"
"lh_inferiortemporal","CT","lh","inferiortemporal","Male","0.0080",0.461,"SCZ"
"lh_inferiortemporal","CT","lh","inferiortemporal","All","   NA",0.769,"AD"
"lh_inferiortemporal","CT","lh","inferiortemporal","All","   NA",0.006,"ASD"
"lh_inferiortemporal","CT","lh","inferiortemporal","All","   NA",-0.007,"ADHD"
"lh_inferiortemporal","CT","lh","inferiortemporal","All","   NA",0.388,"SCZ"
"lh_insula","CT","lh","insula","Female","0.0080",0.594,"AD"
"lh_insula","CT","lh","insula","Female","0.7745",-0.017,"ASD"
"lh_insula","CT","lh","insula","Female","0.4950",0.06,"ADHD"
"lh_insula","CT","lh","insula","Female","0.0080",0.297,"SCZ"
"lh_insula","CT","lh","insula","Male","0.0080",0.65,"AD"
"lh_insula","CT","lh","insula","Male","0.0878",0.044,"ASD"
